Time(s), Input Voltage (V), Output Load Angle (rad)
0, 220, 0
0.1, 220, 0.037314
0.2, 220, 0.134854
0.3, 220, 0.283169
0.4, 220, 0.456469
0.5, 220, 0.613918
0.6, 220, 0.712136
0.7, 220, 0.726183
0.8, 220, 0.672815
0.9, 220, 0.62818
1, 220, 0.694312
1.1, 220, 0.856364
1.2, 220, 1.07569
1.3, 220, 1.30416
1.4, 192.865, 1.48094
1.5, 131.595, 1.55545
1.6, 53.4874, 1.51973
1.7, -11.9153, 1.42875
1.8, -11.0807, 1.37127
1.9, 36.7461, 1.36821
2, 51.5285, 1.39741
2.1, 54.4043, 1.44608
2.2, 52.3846, 1.49951
2.3, 44.1468, 1.54142
2.4, 28.8165, 1.56021
2.5, 9.98133, 1.5564
2.6, -2.34945, 1.54404
2.7, -0.901679, 1.53705
2.8, 4.366, 1.5378
2.9, 7.53039, 1.5446
3, 8.88531, 1.55452
3.1, 8.46771, 1.56392
3.2, 6.18588, 1.56965
3.3, 2.68176, 1.5707
3.4, -0.278501, 1.5688
3.5, -1.06173, 1.56668
3.6, -0.382097, 1.56567
3.7, 0.431267, 1.56594
3.8, 0.99717, 1.56715
3.9, 1.22708, 1.5687
4, 1.07247, 1.56994
4.1, 0.602237, 1.57048
4.2, 0.0739461, 1.57039
4.3, -0.212546, 1.57002
4.4, -0.22015, 1.56969
4.5, -0.107278, 1.56954
4.6, 0.0182972, 1.56958
4.7, 0.110029, 1.56974
4.8, 0.142719, 1.56994
4.9, 0.111444, 1.57008
5, 0.0426775, 1.57012
5.1, -0.0175103, 1.57009
5.2, -0.0428619, 1.57003
5.3, -0.0396039, 1.56998
5.4, -0.0226886, 1.56995
5.5, -0.00312461, 1.56996
5.6, 0.0113932, 1.56998
5.7, 0.0162122, 1.57
5.8, 0.0116295, 1.57002
5.9, 0.00294113, 1.57002
6, -0.00399967, 1.57002
6.1, -0.00689855, 1.57001
6.2, -0.00634712, 1.57
6.3, -0.00379337, 1.56999
6.4, -0.000757655, 1.56999
6.5, 0.00143851, 1.57
6.6, 0.00209625, 1.57
6.7, 0.00144678, 1.57
6.8, 0.000313879, 1.57
6.9, -0.000595712, 1.57
7, -0.000998628, 1.57
7.1, -0.000918151, 1.57
7.2, -0.000532138, 1.57
7.3, -8.12731e-05, 1.57
7.4, 0.000225413, 1.57
7.5, 0.000303671, 1.57
7.6, 0.000207861, 1.57
7.7, 5.07007e-05, 1.57
7.79999, -7.82261e-05, 1.57
7.89999, -0.000137263, 1.57
7.99999, -0.000125245, 1.57
8.09999, -6.8595e-05, 1.57
8.2, -5.10831e-06, 1.57
8.3, 3.55656e-05, 1.57
8.4, 4.44331e-05, 1.57
8.5, 3.01967e-05, 1.57
8.6, 7.65145e-06, 1.57
8.7, -1.1055e-05, 1.57
8.8, -1.96291e-05, 1.57
8.9, -1.77944e-05, 1.57
9, -9.71749e-06, 1.57
9.1, -1.00616e-06, 1.57
9.2, 4.37847e-06, 1.57
9.3, 5.42004e-06, 1.57
9.4, 3.31408e-06, 1.57
9.5, 5.07461e-08, 1.57
9.6, -2.64395e-06, 1.57
9.7, -3.84835e-06, 1.57
9.8, -3.55929e-06, 1.57
9.9, -2.42172e-06, 1.57
10, -1.22867e-06, 1.57
10.1, -5.04205e-07, 1.57
10.2, -3.76753e-07, 1.57
10.3, -6.84507e-07, 1.57
10.4, -1.15008e-06, 1.57
10.5, -1.52749e-06, 1.57
10.6, -1.68994e-06, 1.57
10.7, -1.64562e-06, 1.57
10.8, -1.48895e-06, 1.57
10.9, -1.32732e-06, 1.57
11, -1.22942e-06, 1.57
11.1, -1.212e-06, 1.57
11.2, -1.25335e-06, 1.57
11.3, -1.31585e-06, 1.57
11.4, -1.36657e-06, 1.57
11.5, -1.38927e-06, 1.57
11.6, -1.38528e-06, 1.57
11.7, -1.36629e-06, 1.57
11.8, -1.34532e-06, 1.57
11.9, -1.33104e-06, 1.57
12, -1.32633e-06, 1.57
12.1, -1.32956e-06, 1.57
12.2, -1.33688e-06, 1.57
12.3, -1.3444e-06, 1.57
12.4, -1.34949e-06, 1.57
12.5, -1.35114e-06, 1.57
12.6, -1.3497e-06, 1.57
12.7, -1.34637e-06, 1.57
12.8, -1.34271e-06, 1.57
12.9, -1.34015e-06, 1.57
13, -1.33954e-06, 1.57
13.1, -1.34086e-06, 1.57
13.2, -1.34328e-06, 1.57
13.3, -1.34557e-06, 1.57
13.4, -1.3467e-06, 1.57
13.5, -1.34627e-06, 1.57
13.6, -1.34468e-06, 1.57
13.7, -1.34284e-06, 1.57
